status;decimalLongitude;decimalLatitude;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9
N;103,638575;1,559357;26,49166679;26,95000076;25,96666718;2413;297;144;21,92547035;767;453;588;735;7,383333683;86,86274719;38,06890869;31;22,5;8,5;26,20000076;26,64999962
N;103,7245442;1,4479987;26,66250038;27,14999962;26,06666565;2261;293;141;22,9940052;735;432;526;721;6,974999905;85,06098175;43,69964981;30,89999962;22,70000076;8,199998856;26,36666679;26,96666718
N;103,7735796;1,365528902;26,58749962;27,05000114;26,01666641;2302;292;148;21,66661263;747;460;530;747;6,841666698;85,52083588;41,73103333;30,70000076;22,70000076;8;26,01666641;26,88333321
N;103,7855244;13,7728993;26,89166641;28,95000076;24,41666603;1336;287;0;84,99022675;674;19;242;63;9,466667175;56,34920883;177,8384399;34,79999924;18;16,79999924;27,23333359;24,83333397
N;103,833375;1,44899667;26,62916565;27,16666603;25,96666718;2314;307;152;23,35333633;765;463;532;765;6,641666889;83,02083588;49,10372543;30,79999924;22,79999924;8;25,96666718;26,98333359
N;103,870195;30,21903;17,07083321;25,33333397;7,849999905;1250;298;12;96,88446808;752;44;733;44;7,274999619;27,04460907;708,6333008;30;3,099999905;26,89999962;24,66666794;7,849999905
N;103,8704216;13,3415051;27,53750038;29,41666603;25,26666641;1359;261;2;80,63244629;662;22;225;99;9,091667175;56,82291794;165,4625092;35;19;16;27,61666679;25,51666641
N;103,8893041;13,4347941;27,14999962;29,08333397;24,81666756;1326;271;1;82,56304169;652;17;223;89;8,983333588;56,14583969;169,4509735;34,59999847;18,60000038;15,99999809;27,25;25,08333397
N;103,899802;1,299567;26,97916603;27,51666641;26,25;2327;295;157;22,64725494;785;484;484;785;6,974999905;84,03613281;51,67463684;31,20000076;22,89999962;8,300001144;26,25;27,51666641
N;103,927495;1,47039;26,77916718;27,29999924;26,13333321;2382;324;162;24,84066582;812;489;546;812;7,125;84,82143402;47,26415253;31,10000038;22,70000076;8,399999619;26,13333321;26,93333244
N;103,9510232;1,380102097;27,07083321;27,60000038;26,38333321;2230;298;149;25,18232346;770;452;498;770;6,69166708;83,64583588;49,1037178;31,20000076;23,20000076;8;26,38333321;27,41666603
N;104,0576096;-5,372773647;26,3125;26,71666718;25,91666794;3039;368;167;24,97302437;1037;560;699;795;7,525000095;86,49424744;33,98696518;30,70000076;22;8,700000763;26,29999924;26,23333359
N;104,0779714;11,31277452;24,55833435;25,98333359;23,29999924;1986;320;11;71,66208649;907;50;422;132;7,483333111;61,33879471;105,0505142;30,70000076;18,5;12,20000076;24,51666641;23,45000076
N;104,1826633;10,60033333;27,51666641;28,66666603;26,51666641;3061;567;22;77,73261261;1579;114;534;222;7,016666889;64,37309265;84,70088196;33;22,10000038;10,89999962;27,39999962;26,64999962
N;104,2957356;10,49426461;26,79999924;27,91666603;25,78333282;2294;379;18;68,11338806;1072;94;459;210;6,716666698;63,96825409;84,18054962;32;21,5;10,5;26,71666718;25,89999962
N;104,5604783;13,00415278;27,57916641;29,5;25,39999962;1314;279;2;82,14564514;662;22;245;75;8,908332825;56,02725601;164,1708984;35;19,10000038;15,89999962;27,56666756;25,54999924
N;104,6890717;24,62687683;19,27916718;24,89999962;12,03333378;1179;223;17;80,87671661;642;63;642;63;8,741666794;39,37687683;526,9399414;29,10000038;6,900000095;22,20000076;24,89999962;12,03333378
N;104,7140111;-5,247519444;24,48749924;24,79999924;24,13333321;2537;292;106;30,670578;829;374;661;814;8,158332825;84,10652161;34,51778793;29,5;19,79999924;9,700000763;24,36666679;24,26666641
N;105,1258956;9,824958582;27,20000076;28,35000038;25,91666603;2030;310;7;73,42120361;927;50;579;217;6,75;59,73451614;99,10966492;33;21,70000076;11,29999924;27,29999924;26,64999962
N;105,467505;-5,646108;26,12916565;26,48333359;25,56666565;2070;258;84;38,5015831;763;264;467;763;7,124999523;81,89653778;40,97995758;30,60000038;21,89999962;8,700000763;25,56666565;26,16666603
N;105,4785534;21,15973678;23,51666641;28,60000038;17,36666679;1683;321;16;83,47605133;884;64;870;64;6,533333778;34,20593262;470,8615417;32,20000076;13,10000038;19,10000038;28,13333321;17,36666679
N;105,5571549;10,67991186;27,62083244;28,84999847;26,31666756;1421;264;3;73,81814575;648;27;255;50;7,108333111;60,75498962;102,1686859;33,59999847;21,89999962;11,69999886;27,63333321;27
N;105,5915617;21,423205;23,23333359;28,38333321;16,93333244;1737;348;16;85,55627441;945;72;945;72;7,066666603;35,51088715;479,4567566;32,20000076;12,30000019;19,90000153;28,38333321;16,93333244
