status;decimalLongitude;decimalLatitude;wc2.1_30s_bio_1;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9
E;22,747298;39,427184;15,46666622;24,70000076;6,833333492;460;65;15;41,93455887;176;53;53;150;10,89999962;36,45484924;729,9979248;32;2,099999905;29,89999962;11,66666698;24,70000076
E;22,795042;39,746899;13,85833359;22,85000038;5,516666889;468;59;21;32,08653259;164;67;67;135;8,866666794;32,36009979;708,7147217;29;1,600000024;27,39999962;10,1833334;22,85000038
E;22,801116;37,564702;16,84583282;25,10000038;9,583333015;568;99;8;69,10205841;267;30;30;245;9,625;36,18421173;645,6936035;31,79999924;5,199999809;26,59999847;11,03333282;25,10000038
E;22,809591;41,196789;13,73333359;23,61666679;3,833333492;447;51;27;20,10075569;136;88;99;104;11,33333302;34,44782257;801,1677246;31,39999962;-1,5;32,90000153;8,983333588;22,86666679
E;22,822304;40,951629;14,25;24,39999962;4,333333492;440;52;27;20,22942734;138;86;96;106;11,6833334;34,56607437;813,4633789;32,79999924;-1;33,79999924;9,416666985;23,71666718
E;22,88197;40,499675;14,88333321;24,58333397;5,5;428;55;23;26,06412888;143;73;78;113;10,19999981;32,90322495;776,0252075;31,79999924;0,800000012;31;10,48333359;23,89999962
E;22,897396;37,118971;17,33749962;25,20000076;10,4333334;541;97;5;75,33226776;267;20;20;243;7,841666698;32,40357971;614,7324829;31;6,800000191;24,20000076;11,88333321;25,20000076
E;22,917934;40,89638;14,0583334;24,04999924;4,300000191;444;53;25;21,6133461;140;83;95;108;11,36666679;34,44444656;801,2059937;32,09999847;-0,899999976;33;9,350000381;23,33333206
E;22,939721;38,835405;16,11666679;24,61666679;8,399999619;529;83;10;55,918396;218;40;40;206;8,516666412;32,63090515;667,4589844;30,60000038;4,5;26,10000038;13,03333378;24,61666679
E;22,944714;39,358954;16,09583282;25,04999924;7,900000095;467;64;14;44,44985962;181;49;49;157;9,225000381;33,42391205;702,8754272;31,5;3,900000095;27,60000038;12,63333321;25,04999924
E;22,947092;37,996125;16,73749924;25,11666679;9,300000191;537;95;7;67,24238586;244;29;29;231;9,491666794;35,41666794;657,3815918;31,70000076;4,900000095;26,80000114;10,80000019;25,11666679
E;22,955614;40,570692;14,875;24,54999924;5,466666698;435;56;23;26,18153572;145;74;81;115;10,03333282;32,68186569;776,9974365;31,5;0,800000012;30,70000076;10,4333334;23,86666679
E;22,959709;40,773936;14,1833334;24,16666794;4,5;452;54;27;20,72880363;144;87;97;112;11,13333321;33,94308853;798,7044678;32,20000076;-0,600000024;32,79999924;9,516666412;23,5
E;22,973961;41,147362;12,71249962;22,35000038;3,200000048;482;52;30;18,08440399;143;98;110;111;11,49166679;35,46810913;776,7827759;30,29999924;-2,099999905;32,39999771;8,149999619;21,70000076
E;22,975149;36,476677;18,1875;25,25;11,80000019;498;94;3;83,69870758;264;11;11;205;5,591666698;27,2764225;561,8117065;29,5;9;20,5;13,60000038;25,25
E;22,982232;40,664823;14,26666641;24,03333282;4,849999905;453;55;26;22,33888245;146;83;92;113;10,4333334;33,44017029;779,7037354;31,39999962;0,200000003;31,19999886;9,733333588;23,31666565
E;23,000943;42,666148;9,054166794;18,23333359;-0,600000024;618;75;33;24,53442001;209;114;188;116;12,47500038;38,26687241;765,8728027;26,70000076;-5,900000095;32,60000229;16,51666641;0,866666675
E;23,007038;37,91777;17,29999924;25,95000076;9,683333397;528;92;8;66,17325592;238;30;30;224;9,883333206;35,8091774;674,6312256;32,90000153;5,300000191;27,60000229;11,14999962;25,95000076
E;23,037621;36,686259;18,08333397;25,46666718;11,51666641;506;93;3;81,26940155;263;13;13;202;6,199999809;28,70370293;581,9182129;30,10000038;8,5;21,60000038;13,1833334;25,46666718
E;23,063992;39,34126;15,16666698;23,81666565;7,283333302;494;66;15;43,61003113;188;53;53;169;8,300000191;31,92307854;678,2508545;29,39999962;3,400000095;26;11,94999981;23,81666565
E;23,069574;39,093042;15,92083359;24,43333244;8,25;494;73;12;51,21285248;198;44;44;184;7,708333492;30,71049118;666,8087158;29,79999924;4,699999809;25,09999847;12,91666698;24,43333244
E;23,076198;36,788859;17,92499924;25,41666603;11,28333282;508;92;4;79,8822403;260;14;14;200;6,383333206;29,01515007;589,2271118;30,20000076;8,199999809;22;12,89999962;25,41666603
E;23,097814;39,481475;14,15833378;22,60000038;6,416666508;502;65;17;40,66710663;186;59;59;169;6,933333397;28,65013695;665,6467285;27,5;3,299999952;24,20000076;11;22,60000038
E;23,132553;41,191654;14,20833302;23,89999962;4,483333111;441;54;23;23,28949165;143;79;91;112;9,616666794;31,3246479;786,331604;30,5;-0,200000003;30,70000076;9,583333015;23,14999962
E;23,14357;40,656228;14,26249981;23,86666679;4,799999714;446;56;23;25,37401199;149;75;85;120;9,691666603;31,9856987;775,265686;30,60000038;0,300000012;30,30000114;9,816666603;23,19999886
E;23,156386;37,618475;17,24166679;25,66666603;9,800000191;491;85;6;69,92105103;229;23;23;210;8,933333397;33,96704865;658,0198364;32,09999847;5,800000191;26,29999924;11,30000019;25,66666603
E;23,180334;39,404816;15,73333359;24,21666718;7,816666603;462;64;13;46,23601913;180;47;47;163;6,650000095;27,70833206;669,7127686;28,60000038;4,599999905;24;12,58333397;24,21666718
E;23,186152;39,224101;16,45833397;25,08333397;8,633333206;463;68;11;51,10245514;186;41;41;172;7,333333492;29,33333397;673,6495972;30;5;25;13,36666679;25,08333397
E;23,186681;38,647972;16,46666718;25,06666565;8,75;530;89;8;60,3966217;224;36;36;219;8,933333397;33,58396149;672,5775757;31,29999924;4,699999809;26,59999847;10,25;25,06666565
